0,1153,0
1000,1001,0
2000,1096,0
3000,1239,0
4000,1321,0
5000,1406,0
6000,1577,0
7000,1603,0
8000,1730,0
9000,1873,0
10000,1954,0
11000,2042,0
12000,2189,0
13000,2274,0
14000,2256,0
15000,2493,0
16000,2601,0
17000,2626,0
18000,2706,0
19000,2792,0
20000,2932,0
21000,3175,0
22000,3356,0
23000,3309,0
24000,3382,0
25000,3283,0
26000,3133,0
27000,2844,0
28000,2315,0
29000,2874,0
30000,3406,0
31000,3838,0
32000,4125,0
33000,4319,0
34000,4390,0
35000,4571,0
36000,4618,0
37000,4701,0
38000,4755,0
39000,4644,0
40000,4371,0
41000,4487,0
42000,4430,0
43000,5625,0
44000,5298,0
45000,5618,0
46000,5997,0
47000,6192,0
48000,6182,0
49000,6570,0
50000,6356,0
51000,6680,0
52000,6729,0
53000,6972,0
54000,7504,0
55000,7139,0
56000,7402,0
57000,7473,0
58000,7913,0
59000,7843,0
60000,8104,0
61000,8075,0
62000,7607,0
63000,7604,0
64000,7891,0
65000,8352,0
66000,8550,0
67000,8463,0
68000,8553,0
69000,8755,0
70000,8963,0
71000,9090,0
72000,9228,0
73000,9562,0
74000,9704,0
75000,10629,0
76000,11128,0
77000,11241,0
78000,10667,0
79000,10701,0
80000,11044,0
81000,10975,0
82000,11091,0
83000,11072,0
84000,11623,0
85000,11485,0
86000,11202,0
87000,11539,0
88000,11425,0
89000,11565,0
90000,11721,0
91000,11922,0
92000,11854,0
93000,12138,0
94000,12441,0
95000,12461,0
96000,12623,0
97000,12832,0
98000,13034,0
99000,13267,0
100000,13682,0
101000,13544,0
102000,13868,0
103000,13627,0
104000,13768,0
105000,14033,0
106000,14175,0
107000,14517,0
108000,14352,0
109000,14433,0
110000,14754,0
111000,14917,0
112000,14883,0
113000,15136,0
114000,15612,0
115000,15841,0
116000,15876,0
117000,15850,0
118000,16184,0
119000,16332,0
120000,16445,0
121000,16638,0
122000,17024,0
123000,16739,0
124000,16946,0
125000,16978,0
126000,17205,0
127000,17424,0
128000,17454,0
129000,17764,0
130000,17897,0
131000,18191,0
132000,18330,0
133000,18492,0
134000,18822,0
135000,18794,0
136000,18894,0
137000,19007,0
138000,19140,0
139000,19249,0
140000,19590,0
141000,19585,0
142000,19804,0
143000,20014,0
144000,20105,0
145000,20264,0
146000,20430,0
147000,20247,0
148000,20418,0
149000,20418,0
150000,9544,0
